         128275 function calls (116489 primitive calls) in 0.109 seconds

   Ordered by: cumulative time
   List reduced from 53 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.109    0.109 <stdin>:26(run)
        1    0.009    0.009    0.109    0.109 /Users/jishen/development/stockpilot/packages/chantheory/signals.py:358(build_signal_payloads)
2076/1038    0.056    0.000    0.060    0.000 /Users/jishen/development/stockpilot/packages/chantheory/structure_mapping.py:63(to_timestamp)
     2192    0.001    0.000    0.016    0.000 /Users/jishen/development/stockpilot/packages/chantheory/signals.py:245(_evaluate_signal_via_dispatcher)
     2192    0.001    0.000    0.008    0.000 /Users/jishen/development/stockpilot/packages/chantheory/signals.py:312(_extract_signal_value)
     6243    0.008    0.000    0.008    0.000 {built-in method builtins.getattr}
19358/8610    0.002    0.000    0.007    0.000 {built-in method builtins.isinstance}
     2192    0.001    0.000    0.007    0.000 /Users/jishen/development/stockpilot/packages/chantheory/signals.py:88(_dispatch)
     2192    0.006    0.000    0.006    0.000 {built-in method czsc._native.call_signal}
     5374    0.001    0.000    0.006    0.000 /opt/homebrew/Cellar/python@3.14/3.14.5/Frameworks/Python.framework/Versions/3.14/lib/python3.14/typing.py:1292(__instancecheck__)
        1    0.003    0.003    0.005    0.005 /Users/jishen/development/stockpilot/packages/chantheory/signals.py:667(build_signal_series)
     5374    0.002    0.000    0.005    0.000 /opt/homebrew/Cellar/python@3.14/3.14.5/Frameworks/Python.framework/Versions/3.14/lib/python3.14/typing.py:1583(__subclasscheck__)
        1    0.004    0.004    0.005    0.005 /Users/jishen/development/stockpilot/packages/chantheory/signals.py:795(build_signal_snapshots)
        1    0.002    0.002    0.003    0.003 /Users/jishen/development/stockpilot/packages/chantheory/signals.py:710(build_signal_events)
     3056    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     5374    0.001    0.000    0.002    0.000 {built-in method builtins.issubclass}
      980    0.000    0.000    0.002    0.000 /Users/jishen/development/stockpilot/packages/chantheory/structure_mapping.py:33(safe_get)
      490    0.001    0.000    0.002    0.000 /Users/jishen/development/stockpilot/packages/chantheory/structure_mapping.py:99(normalize_direction)
     8784    0.001    0.000    0.002    0.000 /Users/jishen/development/stockpilot/packages/chantheory/signals.py:657(_evaluation_status)
    21454    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     5374    0.001    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
      547    0.001    0.000    0.001    0.000 {method 'update' of 'czsc._native.CZSC' objects}
     2192    0.000    0.000    0.001    0.000 /Users/jishen/development/stockpilot/packages/chantheory/signals.py:350(_signal_value_is_active)
     5374    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      490    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
     6576    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
     6604    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
     3176    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2192    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
     2193    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     1470    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      490    0.000    0.000    0.000    0.000 /Users/jishen/development/stockpilot/packages/chantheory/structure_mapping.py:49(enum_name)
     1470    0.000    0.000    0.000    0.000 /Users/jishen/development/stockpilot/packages/chantheory/structure_mapping.py:105(<genexpr>)
     1038    0.000    0.000    0.000    0.000 {method 'time' of 'datetime.datetime' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      524    0.000    0.000    0.000    0.000 /Users/jishen/development/stockpilot/packages/chantheory/structure_mapping.py:56(to_float)
      548    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 /Users/jishen/development/stockpilot/packages/chantheory/signals.py:154(normalize_signals_config)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
       88    0.000    0.000    0.000    0.000 /Users/jishen/development/stockpilot/packages/chantheory/signals.py:703(<genexpr>)


